source_id,name,tier,publisher_type,base_url,access_method,rate_limit_seconds,robots_required,enabled,notes,sitemap_url,rss_url,api_url,allowed_paths,blocked_paths,language,country,domain_tags,known_bias_or_limitation
global-witness-gas-flaring-azerbaijan,Global Witness Gas Flaring Azerbaijan,tier_3,ngo,https://globalwitness.org/en/campaigns/fossil-fuels/hundreds-of-thousands-in-cop29-host-country-at-risk-from-gas-flaring-pollution/,public_html,2,true,true,880k people at risk from gas flaring pollution Source cadence: monthly; source priority: 1; original doc type: webpage.,,,,,,en,Azerbaijan,observed-data|ecology|public_health|Azerbaijan|gas_flaring|Sangachal_terminal|BP_operations,
mityagina-lavrova-caspian-oil-seeps,Mityagina Lavrova Caspian Oil Seeps,tier_4,academic,https://www.biotaxa.org/em/article/download/86052/80833/361146,public_pdf,2,true,true,Peer-reviewed study using Sentinel-1 SAR and optical satellite data Source cadence: annual; source priority: 1; original doc type: PDF.,,,,,,en,Azerbaijan,observed-data|ecology|satellite_monitoring|Caspian_Sea|oil_pollution|Azerbaijan|Oil_Rocks|2017-2021_data,
mapping-oil-pollution-caspian-2022-2024,Mapping Oil Pollution Caspian 2022-2024,tier_4,academic,https://www.researchgate.net/publication/398111740_Mapping_Oil_Pollution_on_the_Caspian_Sea_Surface_Using_Satellite_Remote_Sensing_Data_from_2022_to_2024,manual_review,2,true,false,Independent satellite monitoring of Oil Rocks region Returned 403 during audit; keep disabled for manual review or replace with publisher/open-access source. Source cadence: annual; source priority: 1; original doc type: webpage.,,,,,,en,Azerbaijan,observed-data|ecology|satellite_monitoring|Caspian_Sea|oil_pollution|Azerbaijan|Sentinel-1_SAR|2022-2024_data,Returned 403 during audit; keep disabled for manual review or replace with publisher/open-access source.
transparent-world-caspian-project,Transparent World Caspian Project,tier_3,independent_monitoring,https://transparentworld.tech/,public_html,2,true,true,Real-time radar-based oil pollution monitoring Source cadence: weekly; source priority: 1; original doc type: webpage.,,,,,,en,Azerbaijan,observed-data|ecology|satellite_monitoring|oil_spills|Caspian_Sea|Azerbaijan|Sentinel-1|real-time|Shirshov_Institute,
transparent-world-ngo-main-site,Transparent World NGO Main Site,tier_3,ngo,https://transparentworld.info/en/about/organisation/,public_html,3,true,true,Founded 2000; partners with WWF Russia and Greenpeace Source cadence: annual; source priority: 2; original doc type: webpage.,,,,,,en,,observed-data|ecology|organizational_info|Moscow|WWF_partner|Greenpeace_partner|remote_sensing,
transparent-world-caspian-radar-monitoring,Transparent World Caspian Radar Monitoring,tier_3,independent_monitoring,https://transparentworld.info/ru/environment/monitoring/radar/,public_html,3,true,true,Technical methodology for radar monitoring (Russian) Source cadence: quarterly; source priority: 2; original doc type: webpage.,,,,,,ru,Caspian Sea,observed-data|ecology|methodology|Caspian_Sea|Sakhalin_shelf|radar_monitoring|Russian_text,
sturgeon-hydrocarbon-contamination-study,Sturgeon Hydrocarbon Contamination Study,tier_4,academic,https://link.springer.com/article/10.1007/s11356-024-32653-y,public_html,2,true,true,Aliphatic hydrocarbons in sturgeon tissue - biological evidence Source cadence: annual; source priority: 1; original doc type: webpage.,,,,,,en,Azerbaijan,observed-data|ecology|biological_sampling|Caspian_Sea|Azerbaijan|sturgeon|hydrocarbon_contamination|toxic_elements,
save-caspian-sea-april-2025-press-release,Save Caspian Sea April 2025 Press Release,tier_3,ngo,http://savethecaspiansea.com/news/tpost/28fk5ez6h1-press-release-in-april-sentinel-1a-satel,public_html,2,true,true,15 oil slicks detected April 2025; 32 sq km total Source cadence: monthly; source priority: 1; original doc type: webpage.,,,,,,en,Caspian Sea,observed-data|ecology|oil_spills|Caspian_Sea|April_2025|Kazakhstan_sector|Azerbaijan_sector|Russian_sector,
sec-climate-disclosure-final-rule,SEC Climate Disclosure Final Rule,tier_2,government_regulator,https://www.sec.gov/files/rules/final/2024/33-11275.pdf,public_pdf,2,true,true,Enhancement and Standardization of Climate-Related Disclosures Source cadence: quarterly; source priority: 1; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|climate|GHG|financial_disclosure|US_federal|Scope_1|Scope_2|materiality,
sec-oil-gas-reporting-modernization,SEC Oil Gas Reporting Modernization,tier_2,government_regulator,https://www.sec.gov/files/rules/final/2008/33-8995.pdf,public_pdf,3,true,true,Modernization of Oil and Gas Reporting requirements Source cadence: annual; source priority: 2; original doc type: PDF.,,,,,,en,United States,state-derived_data|regulatory|reserves|financial_disclosure|oil_gas|US_federal|proved_reserves,
